행유형,원본부모Claim번호,자식Claim번호,입력구분,최종검증유형,유형분류결과,원문,기사작성일,대상수치표현,지표,기사값,단위,기준시점,주기,지역,대상집단,차원JSON,계산방식,조건JSON,파싱상태,공식조회진입경로,최종상태,최종사유코드,실패단계,실패원인_쉬운설명,판정,공식계산값,공식좌표JSON,공식출처JSON,공식근거URL,응답해시,공표확인,공식근거종류,공식판정완료,진단번호,원본상세사유,전체자식수,8번직접값자식수,다른유형자식수,공식판정완료자식수,실행결과파일
부모겸단일결과,A00709_11,A00709_11,단일 수치,8번 직접값,8번 직접값 유지,◇15년 뒤 생산연령인구 3000만명 아래로 하지만 올해부터는 90년대 초반생들도 이미 30세를 넘어 대부분 노동시장에 진출한 상태다.,2025-02-24,3e+07명,총인구,30000000.0,명,2025,Y,,,,THRESHOLD,"{""operator"": ""LTE"", ""threshold_unit"": ""명"", ""threshold_value"": ""30000000.0""}",AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HARD_GUARD,공식표는 찾았지만 기사 조건에 맞는 항목·지역·기간 좌표를 확정하지 못함,UNDETERMINED,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\single_133_live_final_v3\claim_verification_results.jsonl
부모겸단일결과,A00837_4,A00837_4,단일 수치,8번 직접값 제외,다른 유형으로 이동: 7번 증감률,2020년에는 코로나 팬데믹 충격으로 성장률이 9%쯤 뒷걸음질한 이탈리아를 넘어서기도 했다.,2025-03-06,9%,경제성장률,9.0,%,2020,Y,,,,THRESHOLD,"{""operator"": ""GT""}",HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,RECLASSIFY_TO_GROWTH_RATE,CLAIM_PARSE,직접값이 아니라 두 기간 공식값으로 비율을 계산해야 하는 증감률 주장,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\single_133_live_final_v3\claim_verification_results.jsonl
복수문장부모요약,A00840_16,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"지난달 가공식품 물가는 전년 동월 대비 2.9% 올랐는데, 지난해 1월(3.2%) 이후 13개월 만에 최대 상승폭이다.",2025-03-06,,물가상승률,3.2,%,2024-01,M,,,,,,,,자식별 결과,{},,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,0,1,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
입력차단부모,A00840_17,,비통계 숫자 역할 차단,8번 직접값 제외,공식조회 전 차단,"마찬가지로 지난달 외식 물가는 전년 동월 대비 3% 상승했는데, 지난해 6월(3%) 이후 8개월 만에 최대 상승폭이다.",2025-03-06,,물가상승률,3,%,2024-06,M,,,,,,HUMAN_REVIEW,,공식조회 전 차단,TARGET_AMBIGUOUS_IN_SOURCE,Claim 수치 역할 확인,연령·기간·제품명 등 통계값이 아닌 숫자를 기사값으로 사용하지 않도록 차단,,,,,,,,,,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\direct-value-execution\deliverables\CLAFACT_AUTO_8번_1단계_숫자역할오인차단_20260825.csv
복수문장부모요약,A00849_11,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"작년 1억원 이상 수입차에서 가장 인기 있는 모델 5개 중 SUV가 3개, 세단은 1개였다.",2025-03-07,,수입액,100000000,원,2024,Y,,,,,,,,자식별 결과,"{""TARGET_NOT_FOUND_IN_SOURCE"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A00922_27,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"다만, 지난달 15세 이상 전체 취업자는 2817만9000명으로 전년 같은 달보다 13만6000명 늘었다.",2025-03-12,,취업자 수,28179000,명,2025-02,M,,,,,,,,자식별 결과,"{""NO_EVIDENCE_COORDINATE_CANDIDATE"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
부모겸단일결과,A00922_29,A00922_29,단일 수치,8번 직접값 제외,다른 유형으로 이동: 6번 증감량,60세 이상이 전년 같은 달 대비 34만2000명 늘어나며 전체 취업자 증가세를 이끌었다.,2025-03-12,342000명,취업자 수,342000.0,명,2025,Y,,,,THRESHOLD,"{""direction"": ""INCREASE"", ""operator"": ""GTE""}",HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,RECLASSIFY_TO_DIFFERENCE,CLAIM_PARSE,직접값이 아니라 두 기간 공식값의 차이를 계산해야 하는 증감량 주장,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\single_133_live_final_v3\claim_verification_results.jsonl
복수문장부모요약,A01103_18,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"◇수입차 최대 수준 보조금 2025년형 ID.4의 가격은 ID.4 Pro Lite가 5299만원, ID.4 Pro가 5999만원으로 9만원 인상에 그쳤다.",2025-03-26,,수입액,52990000,원,2025,Y,,,,,,,,자식별 결과,"{""NO_HARD_GUARD_CANDIDATE"": 1, ""RECLASSIFY_TO_DIFFERENCE"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,2,2,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A01190_9,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"지난달 가공식품 물가는 전년 동월 대비 3.6% 올랐는데, 지난해 1월(3.2%) 이후 14개월 만에 최대 증가폭이다.",2025-04-02,,물가상승률,3.2,%,2024-01,M,,,,,,,,자식별 결과,{},,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,0,1,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
부모겸단일결과,A01388_4,A01388_4,단일 수치,8번 직접값 제외,다른 유형으로 이동: 최고·최저 기록,1분기 기준으로는 2008년(377만8000톤) 이후 17년 만에 최대 수입량이다.,2025-04-17,3.778e+06톤,수입량,3778000.0,톤,2008,Y,,,,THRESHOLD,"{""operator"": ""MAX""}",HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,RECLASSIFY_TO_RECORD,CLAIM_PARSE,직접값이 아니라 과거 전체 기간과 비교해야 하는 기록 주장,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\single_133_live_final_v3\claim_verification_results.jsonl
복수문장부모요약,A01489_17,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,김상봉 한성대 경제학과 교수는 “상호 관세 적용 시 연간 성장률이 최대 0.9%포인트까지 내려갈 수 있다”며 “올해 우리 경제 성장률이 1%를 하회할 가능성이 크다”고 했다.,2025-04-25,,경제성장률,0.9,%p,2025,Y,,,,,,,,자식별 결과,"{""NO_EVIDENCE_COORDINATE_CANDIDATE"": 1, ""RECLASSIFY_TO_RECORD"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,2,2,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A01565_13,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,올해 두나무를 포함해 자산총액이 11조6000억원(최근 명목 GDP 확정치의 0.5%) 이상인 기업집단 46곳이 상호출자제한기업집단으로 지정됐다.,2025-05-01,,GDP,11600000000000,원,2025,Y,,,,,,,,자식별 결과,"{""NO_HARD_GUARD_CANDIDATE"": 2}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,2,2,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A01737_12,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"코로나 시기였던 지난 2021년 7월(7.2%) 이후 45개월만의 최대치로, 20대 후반 실업률이 7%대에 올라선 것 자체가 2022년 4월(7%) 이후 3년 만이다.",2025-05-14,,실업률,7.2,%,2021-07,M,,,,,,,,자식별 결과,"{""TARGET_AMBIGUOUS_IN_SOURCE"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A01737_4,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"14일 통계청이 발표한 ‘2025년 4월 고용동향’에 따르면, 지난달 15세 이상 취업자는 2888만7000명으로 전년 동월 대비 19만4000명 늘었다.",2025-05-14,,취업자 수,28887000,명,2025-04,M,,,,,,,,자식별 결과,"{""WITHIN_TOLERANCE"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,1,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
부모겸단일결과,A01752_5,A01752_5,단일 수치,8번 직접값,8번 직접값 유지,60세 이상 취업자가 많은 보건·사회복지 분야를 중심으로 취업자가 늘면서 올해 1월부터 넉 달째 취업자 증가 폭이 10만명대를 유지했다.,2025-05-15,100000명,취업자 수,100000.0,명,2025,Y,,,,DIRECT_VALUE,,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,AS_OF_UNAVAILABLE,OFFICIAL_VALUE_FETCH,기사 작성일 기준 공표된 공식값인지 확인하지 못함,UNDETERMINED,,"[{""canonical_key"": ""ORG=101|TBL=DT_1DA7001S|ITM=T30|OBJ=B|MEMBER=계|PRD_SE=년|PRD_DE=2025"", ""dimension_codes"": {""B"": ""0""}, ""dimension_members"": {""B"": ""계""}, ""itm_id"": ""T30"", ""member_code"": ""계"", ""obj_id"": ""B"", ""org_id"": ""101"", ""prd_de"": ""2025"", ""prd_se"": ""년"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1DA7001S"", ""unit"": ""천명""}]","[{""content_hash"": ""567fc949b666ed562319e0547a45efd088f6ae743c25704f4361c02e722ebf4a"", ""evidence_key"": ""ORG=101|TBL=DT_1DA7001S|ITM=T30|OBJ=B|MEMBER=계|PRD_SE=년|PRD_DE=2025"", ""publication"": {""content_hash"": ""bfe8f0ac276d9f50b0786a5a5f97094e311a62f68ff4eea283ff9f2c50fab62c"", ""coverage_end_period"": null, ""coverage_start_period"": null, ""evidence_scope"": ""PERIOD"", ""pub_date_text"": ""조사기준 월 익월"", ""pub_period"": ""월"", ""publication_method_url"": ""https://mods.go.kr/board.es?mid=a10301010000&bid=210&list_no=445948&act=view&mainXml=Y"", ""published_at"": ""2026-07-15"", ""reference_period"": ""2025"", ""retrieved_at"": ""2026-08-26T08:52:21.040824Z"", ""source_url"": ""https://mods.go.kr/board.es?mid=a10301010000&bid=210&list_no=445948&act=view&mainXml=Y"", ""status"": ""VERIFIED""}, ""retrieved_at"": ""2026-08-26T08:52:17.708918Z"", ""source"": ""API"", ""source_url"": ""https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7001S&itmId=T30&prdSe=Y&startPrdDe=2025&endPrdDe=2025&objL1=0"", ""value_last_changed_at"": ""2025-12-31""}]",https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7001S&itmId=T30&prdSe=Y&startPrdDe=2025&endPrdDe=2025&objL1=0,567fc949b666ed562319e0547a45efd088f6ae743c25704f4361c02e722ebf4a,VERIFIED,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\single_133_live_final_v3\claim_verification_results.jsonl
복수문장부모요약,A01924_10,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"3월 출생아 수만 놓고 봐도 2만1041명으로 전년 동월 대비 6.8% 늘었는데, 3월 기준으로 지난 1993년 3월(8.9%) 이후 32년 만에 최대 상승폭이다.",2025-05-28,,출생아 수,8.9,%,2025,Y,,,,,,,,자식별 결과,"{""AS_OF_UNAVAILABLE"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A01924_9,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,분기별 출생아 수가 6만5000명을 넘어선 것 자체도 지난 2022년 1분기(6만8339명) 이후 3년 만이다.,2025-05-28,,출생아 수,65000,명,2022-Q1,Q,,,,,,,,자식별 결과,"{""CALCULATION_EVIDENCE_PLAN_UNRESOLVED"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A02096_11,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"지난달 연령대 별 취업자 수는 60세 이상과 30대에서 취업자가 각각 37만명, 13만2000명 늘어났다.",2025-06-11,,취업자 수,132000,명,2025-05,M,,,,,,,,자식별 결과,"{""RECLASSIFY_TO_DIFFERENCE"": 2}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,2,2,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A02111_6,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,4월만 해도 690만6000명이었던 60세 이상 취업자는 지난달 704만9000명으로 처음으로 700만명을 넘었다.,2025-06-12,,취업자 수,6906000,명,2025-05,M,,,,,,,,자식별 결과,"{""AS_OF_UNAVAILABLE"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A02184_11,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,올해 1분기 고졸 실업률은 5.5%로 4년제 대학 이상 졸업자(6.9%)는 물론이고 전문대 졸업자(6.3%)보다도 낮았다.,2025-06-17,,실업률,5.5,%,2025-Q1,Q,,,,,,,,자식별 결과,"{""TARGET_NOT_FOUND_IN_SOURCE"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A02184_15,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"지난 1분기 기준 30대 고졸 실업률은 4.2%인 반면, 대졸 이상은 2.4%에 그쳤다.",2025-06-17,,실업률,30,대,2025-Q1,Q,,,,,,,,자식별 결과,"{""WITHIN_TOLERANCE"": 1, ""중심 수치와 비교 수치가 함께 제시되지만, 두 학력 집단의 독립적인 실업률을 하나의 단일 목표 수치로 구조화해야 하므로 비교 수치의 표준 슬롯 처리가 불충분함"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,2,2,0,1,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A02184_9,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,작년에도 대졸 실업률(5.8%)이 고졸(5.1%)을 웃돌았고 올 들어서도 이런 상황이 이어지고 있다.,2025-06-17,,실업률,5.8,%,2024,Y,,,,,,,,자식별 결과,"{""NO_EVIDENCE_COORDINATE_CANDIDATE"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A02203_8,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,가공식품의 생활 물가 상승률 기여도는 작년 하반기 0.15%포인트에서 올해 0.34%포인트로 두 배 이상 확대됐다.,2025-06-19,,물가상승률,0.15,%p,2024,Y,,,,,,,,자식별 결과,{},,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,0,1,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A02388_5,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,5000만 달러 이상의 수출 실적을 보인 가공식품 중 지난해 대비 수출 증가율이 가장 큰 상위 품목은 라면(24.0%)이었다.,2025-07-03,,수출액,24,%,2024,Y,,,,,,,,자식별 결과,{},,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,0,1,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A02558_5,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,"16일 통계청이 발표한 ‘2025년 6월 고용동향’에 따르면, 지난달 15세 이상 취업자는 2909만1000명으로 전년 동월 대비 18만3000명 늘었다.",2025-07-16,,취업자 수,29091000,명,2025-06,M,,,,,,,,자식별 결과,"{""NO_EVIDENCE_COORDINATE_CANDIDATE"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
부모겸단일결과,A02632_1,A02632_1,단일 수치,8번 직접값 제외,다른 유형으로 이동: 6번 증감량,지난달 취업자가 31만명 이상 증가했다.,2025-10-17,310000명,취업자 수,310000.0,명,2025-09,M,,,,THRESHOLD,"{""direction"": ""INCREASE"", ""operator"": ""GTE""}",HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,RECLASSIFY_TO_DIFFERENCE,CLAIM_PARSE,직접값이 아니라 두 기간 공식값의 차이를 계산해야 하는 증감량 주장,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\single_133_live_final_v3\claim_verification_results.jsonl
복수문장부모요약,A02633_4,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,17일 국가데이터처가 발표한 ‘9월 고용동향’에 따르면 지난달 15세 이상 취업자는 2915만4000명으로 전년 동월 대비 31만2000명 증가했다.,2025-10-17,,취업자 수,29154000,명,2025-09,M,,,,,,,,자식별 결과,"{""AMBIGUOUS_MARGIN"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
복수문장부모요약,A02647_11,,복수 수치,8번 직접값 자식만 실행,복수 Claim 분리 후 자식별 결과 참조,특히 60세 이상 비정규직 근로자는 304만4000명으로 전년 동월 대비 23만3000명 증가했다.,2025-10-22,,비정규직 규모/비율,3044000,명,2025,Y,,,,,,,,자식별 결과,"{""MISSING_REQUIRED_SLOTS:time"": 1}",,한 문장을 자식 Claim으로 나눈 뒤 8번 직접값 자식만 공식 검증한 결과,,,,,,,,,,,,1,1,0,0,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\multi_type8_197_live_final\claim_verification_results.jsonl
입력차단부모,A00041_3,,비통계 숫자 역할 차단,8번 직접값 제외,공식조회 전 차단,지난해 말 상승한 국제 곡물 가격도 3~4개월 시차를 두고 국내 식품 물가에 반영될 가능성이 높다.,2025-01-04,,물가상승률,4,개,2024,Y,,,,,,HUMAN_REVIEW,,공식조회 전 차단,TARGET_NOT_FOUND_IN_SOURCE,Claim 수치 역할 확인,연령·기간·제품명 등 통계값이 아닌 숫자를 기사값으로 사용하지 않도록 차단,,,,,,,,,,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\direct-value-execution\deliverables\CLAFACT_AUTO_8번_1단계_숫자역할오인차단_20260825.csv
부모겸단일결과,A00067_3,A00067_3,단일 수치,8번 직접값,8번 직접값 유지,한국수입자동차협회(KAIDA)는 6일 지난해 수입 승용차 신규 등록 대수를 집계한 결과 테슬라 모델 Y가 지난해 모두 1만8717대가 팔리며 수입 승용차 가운데 최고 인기 모델로 꼽혔다고 밝혔다.,2025-01-06,18717대,수입액,18717.0,대,2024,Y,전국,,"{""raw"": ""{\""품목\"": [\""자동차\""]}""}",DIRECT_VALUE,,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,INDICATOR_REFINEMENT_REQUIRED,CLAIM_PARSE,INDICATOR_REFINEMENT_REQUIRED,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\single_133_live_final_v3\claim_verification_results.jsonl
부모겸단일결과,A00070_7,A00070_7,단일 수치,8번 직접값 제외,다른 유형으로 이동: 최고·최저 기록,"지난 2003년 이후 대중 수출이 대미 수출을 뛰어 넘은 상황을 유지하고 있지만, 격차는 2003년(8억9000만달러) 이후 21년 만에 가장 작았다.",2025-01-06,8.9e+08달러,수출액,890000000.0,달러,2003,Y,,,"{""raw"": ""{\""교역상대국\"": [\""미국\""]}""}",DIRECT_VALUE,,HUMAN_REVIEW,CONTEXT_REQUIRED,HUMAN_REVIEW,RECLASSIFY_TO_RECORD,CLAIM_PARSE,직접값이 아니라 과거 전체 기간과 비교해야 하는 기록 주장,,,[],[],,,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\single_133_live_final_v3\claim_verification_results.jsonl
부모겸단일결과,A00070_8,A00070_8,단일 수치,8번 직접값,8번 직접값 유지,7년 전인 2018년까지만 해도 대중 수출액과 대미 수출액 간 격차는 894억500만달러에 달했다.,2025-01-06,8.9405e+10달러,수출액,89405000000.0,달러,2018,Y,,,"{""raw"": ""{\""교역상대국\"": [\""미국\""]}""}",DIRECT_VALUE,,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,AS_OF_UNAVAILABLE,OFFICIAL_VALUE_FETCH,기사 작성일 기준 공표된 공식값인지 확인하지 못함,UNDETERMINED,,"[{""canonical_key"": ""ORG=360|TBL=DT_1R11006_FRM101|ITM=13103103829T1|OBJ=13101103829E|MEMBER=미국|PRD_SE=년|PRD_DE=2018"", ""dimension_codes"": {""13101103829E"": ""13102103829E.US""}, ""dimension_members"": {""13101103829E"": ""미국""}, ""itm_id"": ""13103103829T1"", ""member_code"": ""미국"", ""obj_id"": ""13101103829E"", ""org_id"": ""360"", ""prd_de"": ""2018"", ""prd_se"": ""년"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1R11006_FRM101"", ""unit"": ""천달러""}]","[{""content_hash"": ""4d960f0bb0fecbe7b06d47e2d989adfded5668c841c05957fca846d74cea5fde"", ""evidence_key"": ""ORG=360|TBL=DT_1R11006_FRM101|ITM=13103103829T1|OBJ=13101103829E|MEMBER=미국|PRD_SE=년|PRD_DE=2018"", ""publication"": {""content_hash"": ""765d65ec9258a199ce9a431cc79cb87d4fd0433ab020497dca5febf9aa449271"", ""coverage_end_period"": null, ""coverage_start_period"": null, ""evidence_scope"": ""PERIOD"", ""pub_date_text"": ""작성기준 월 익월"", ""pub_period"": ""월"", ""publication_method_url"": ""전산망(인터넷)미발간https://kosis.kr/statHtml/statHtml.do?sso=ok&amp;returnurl=https%3A%2F%2Fkosis.kr%3A443%2FstatHtml%2FstatHtml.do%3Flist_id%3D360_36002%26obj_var_id%3D%26seqNo%3D%26tblId%3DDT_1R11006_FRM101%26vw_cd%3DMT_OTITLE%26orgId%3D360%26path%3D%252FstatisticsList%252FstatisticsListIndex.do%26conn_path%3DMT_OTITLE%26itm_id%3D%26lang_mode%3Dko%26scrId%3D%26"", ""published_at"": null, ""reference_period"": null, ""retrieved_at"": ""2026-08-26T08:53:05.960946Z"", ""source_url"": ""https://kosis.kr/openapi/statisticsExplData.do?method=getList&format=json&jsonVD=Y&orgId=360&tblId=DT_1R11006_FRM101&metaItm=All"", ""status"": ""UNRESOLVED""}, ""retrieved_at"": ""2026-08-26T08:53:02.891592Z"", ""source"": ""API"", ""source_url"": ""https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=360&tblId=DT_1R11006_FRM101&itmId=13103103829T1&prdSe=Y&startPrdDe=2018&endPrdDe=2018&objL1=13102103829E.US"", ""value_last_changed_at"": null}]",https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=360&tblId=DT_1R11006_FRM101&itmId=13103103829T1&prdSe=Y&startPrdDe=2018&endPrdDe=2018&objL1=13102103829E.US,4d960f0bb0fecbe7b06d47e2d989adfded5668c841c05957fca846d74cea5fde,,,N,,,,,,,D:\projects\services\archived\clafact-auto\.worktrees\three-type-release\artifacts\direct_value_release_20260826\single_133_live_final_v3\claim_verification_results.jsonl
