부모Claim번호,자식순번,자식Claim번호,실행자식Claim번호,재시도결과,12칸공식조회가능,공식결과생성,개념확정,후보수,근거좌표수,공식출처수,판정,판정경로,판정사유,최종상태,최종사유,진단번호
A01737_12,1,claim_a89607f9f689f43b,claim_d06f6b157e95b812,N,True,Y,MATCHED,29,1,0,UNDETERMINED,HOLD,AMBIGUOUS_MARGIN,HOLD,AMBIGUOUS_MARGIN,
A01737_4,1,claim_c588485a27a5026c,claim_ac87b9d2a82c0da1,N,True,Y,MATCHED,103,1,0,UNDETERMINED,HOLD,AMBIGUOUS_MARGIN,HOLD,AMBIGUOUS_MARGIN,
A01924_10,1,claim_f58fdfa21e8042e8,claim_400ebb8b8f545c76,N,True,Y,MATCHED,1,1,1,UNDETERMINED,HOLD,AS_OF_UNAVAILABLE,HOLD,AS_OF_UNAVAILABLE,
A01924_9,1,claim_a91758e1b4b33569,claim_8f0445efe878985f,N,False,N,,0,0,0,,,,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:value,
A02096_11,1,claim_aec9634f2c214306,claim_51187645801dea7d,N,True,Y,MATCHED,59,1,1,UNDETERMINED,HOLD,AS_OF_UNAVAILABLE,HOLD,AS_OF_UNAVAILABLE,
A02096_11,2,claim_d90a0ef74550d916,claim_60c76d3e7237ece9,N,True,Y,MATCHED,150,1,1,UNDETERMINED,HOLD,AS_OF_UNAVAILABLE,HOLD,AS_OF_UNAVAILABLE,
A02111_6,1,claim_1af97c42f8e79dcb,claim_0b480e92fd76dad9,N,True,Y,MATCHED,122,1,1,UNDETERMINED,HOLD,AS_OF_UNAVAILABLE,HOLD,AS_OF_UNAVAILABLE,
A02184_11,1,claim_c6b69bfc2bdf2b78,A02184_11,Y,,N,,0,0,0,,,,HUMAN_REVIEW,CLAIM_PARSE_UNAVAILABLE,6c9e97d530d6
A02184_15,1,claim_5bf21e8b888c9fcd,claim_27a679f4967c600c,N,True,N,,0,0,0,,,,HUMAN_REVIEW,"중심 수치와 비교 수치가 함께 제시되지만, 두 학력 집단의 독립적인 실업률을 하나의 단일 목표 수치로 구조화해야 하므로 비교 수치의 표준 슬롯 처리가 불충분함",
A02184_15,2,claim_10ced07077608569,claim_f91124a4a8198647,N,True,Y,MATCHED,56,1,1,MISMATCH,AUTO,OUTSIDE_TOLERANCE,AUTO,OUTSIDE_TOLERANCE,
A02184_9,1,claim_7e26ca8b021dc775,claim_ac024e3d51a1b24d,N,True,Y,MATCHED,41,1,1,UNDETERMINED,HOLD,FETCH_FAILED,HOLD,FETCH_FAILED,
A02203_8,1,claim_2b2075bebeb1d97b,claim_fb429e05e1de065b,N,True,N,,0,0,0,,,,HUMAN_REVIEW,CLAIM_UNIT_INCOMPATIBLE,
A02388_5,1,claim_38e68b454935159e,claim_814c0236ce55e386,N,True,Y,MATCHED,20,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A02558_5,1,claim_a4678613610d47a5,claim_dd7f9320985819d8,N,True,Y,MATCHED,1,1,1,MATCH,AUTO,WITHIN_TOLERANCE,AUTO,WITHIN_TOLERANCE,
A02633_4,1,claim_3e98d7f3646f6d9b,claim_57a534979d0230db,N,True,Y,MATCHED,103,1,0,UNDETERMINED,HOLD,AMBIGUOUS_MARGIN,HOLD,AMBIGUOUS_MARGIN,
A02647_11,1,claim_ef7373759319caae,claim_5b07965c5d5da2c5,N,False,N,,0,0,0,,,,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:time,
A00185_3,1,claim_6b36a4392062740e,claim_72bc5d19e53bd33f,N,True,Y,MATCHED,17,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A00202_23,1,claim_7c98d65c16d08668,claim_137349e074940ffc,N,True,Y,MATCHED,29,1,1,MATCH,AUTO,WITHIN_TOLERANCE,AUTO,WITHIN_TOLERANCE,
A00202_23,2,claim_8aa30da67bf9f7e7,claim_3c71ab735b2e9ee3,N,True,Y,MATCHED,48,1,0,UNDETERMINED,HOLD,AMBIGUOUS_MARGIN,HOLD,AMBIGUOUS_MARGIN,
A00308_1,1,claim_bc12aa8d7b003d87,claim_82522bb53547951f,N,False,N,,0,0,0,,,,HUMAN_REVIEW,"문장에 2024년 2분기, 3분기, 4분기의 서로 독립적으로 검증 가능한 성장률이 여러 개 제시되어 단일 목표 수치로 자동 확정할 수 없음",
A00308_33,1,claim_ebeb8db644a856f1,claim_8787c9e7074e32eb,N,True,Y,MATCHED,20,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A00308_33,2,claim_7a9ee01ab58a69fb,claim_e8df7f2f093f8157,N,True,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A00308_33,3,claim_b771764a1b4cbdfa,claim_371452fd49932398,N,True,Y,MATCHED,20,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A00312_11,1,claim_bca90962953a18c9,A00312_11,Y,,N,,0,0,0,,,,HOLD,KOSIS_CATALOG_UNAVAILABLE,02c3ce642b98
A00312_4,1,claim_306a2c6f47fe05d6,claim_ac0dc3a5ac2f3b18,N,True,N,,0,0,0,,,,HUMAN_REVIEW,CLAIM_CALCULATION_UNSUPPORTED,
A00354_11,1,claim_3177fb06f0656043,claim_a9fdda941f19da78,N,True,N,,0,0,0,,,,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:comparison,
A00365_2,1,claim_ed030b7903aeff70,claim_3484bd1d51bc0b43,N,True,Y,MATCHED,87,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A00368_5,1,claim_b50c19825fa9649a,claim_dfaa01677ecc363f,N,False,N,,0,0,0,,,,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:value,
A00368_9,1,claim_0e29ba800703910e,claim_3aff6fbd9177d5e0,N,True,N,,0,0,0,,,,HUMAN_REVIEW,"중심 수치는 전년 동월 대비 0%포인트 변동이지만, 문장 후반에 2013년 9월부터 2016년 10월까지의 증가세와 각 시점의 별도 수치가 함께 제시되어 있어 단일 독립 주장으로 완전히 분리하기 어렵고, 0%포인트 보합을 GROWTH_RATE로 표현할 때 증감 방향 조건도 불명확함.",
A00382_5,1,claim_1ba74e0ac15dc55c,claim_22361451201894d8,N,True,Y,MATCHED,31,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A00433_3,1,claim_863eebfa6f331bc6,A00433_3,Y,,N,,0,0,0,,,,HOLD,KOSIS_CATALOG_UNAVAILABLE,10014e417050
A00509_10,1,claim_244329659d7b2f05,claim_77498fc3ae531d7c,N,True,Y,MATCHED,26,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A00514_8,1,claim_2ca7d994ac25a0f7,claim_bcfe4c355bf627d8,N,True,Y,MATCHED,20,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A00526_14,1,claim_cdacc78d98fd1e6b,claim_288d3aa3d128557f,N,True,Y,MATCHED,120,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A00579_13,1,claim_dccdcb63bdcf78d5,A00579_13,Y,,N,,0,0,0,,,,HOLD,KOSIS_CATALOG_UNAVAILABLE,9de8d52eaf65
A00588_15,1,claim_8641db1ff6d681d4,claim_e0a26d3d58307279,N,False,N,,0,0,0,,,,HUMAN_REVIEW,"문장에 현재 감소 수치와 과거 기준 수치가 함께 제시되지만, '5만2000명이 줄어든'은 기준 수준 대비 감소폭이고 47만3000명은 별도의 과거 감소폭으로 해석될 수 있어 두 수치의 산술적 차이를 단일 값으로 확정하기 어렵습니다.",
A00588_16,1,claim_ab257b776914f0af,claim_f7789dcf0b17574e,N,True,Y,MATCHED,27,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A00588_16,2,claim_cb17ef48bf559cf2,claim_bda51dfc0f4c325d,N,True,Y,MATCHED,71,1,1,UNDETERMINED,HOLD,FETCH_FAILED,HOLD,FETCH_FAILED,
A00588_18,1,claim_15931e21627d8188,claim_1d6b40ff01da626d,N,False,N,,0,0,0,,,,HUMAN_REVIEW,RECORD_COMPARISON_REQUIRES_SEPARATE_CLAIM,
A00692_3,1,claim_b667efa0aa57cc9a,claim_30874d23df711c4b,N,True,Y,MATCHED,3,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A00692_4,1,claim_297f5d4a6be813a9,claim_35ae468fd3fd8221,N,True,Y,MATCHED,47,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A00692_4,2,claim_ecefdae761aa55cb,claim_eccee54d9983f389,N,True,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A00723_14,1,claim_2e73dcbf5b0f952d,claim_a1a9c2951a529a67,N,True,Y,MATCHED,1,1,1,MISMATCH,AUTO,OUTSIDE_TOLERANCE,AUTO,OUTSIDE_TOLERANCE,
A00782_8,1,claim_c2d064bd30f9a76d,claim_aa7f3ffda65e0ac5,N,True,Y,MATCHED,20,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A00782_8,2,claim_7def5eee007790ed,claim_13b22d228fb2d7ae,N,False,N,,0,0,0,,,,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:comparison,
A00838_3,1,claim_9e3fa367e9e40c46,A00838_3,Y,,N,,0,0,0,,,,HOLD,KOSIS_CATALOG_UNAVAILABLE,24b267c1f0b3
A00922_18,1,claim_a9ec3f04db83dfaf,claim_7eb1db14d2ef93b0,N,True,Y,MATCHED,1,1,1,MISMATCH,AUTO,OUTSIDE_TOLERANCE,AUTO,OUTSIDE_TOLERANCE,
A00922_19,1,claim_2e95b79efb1adf6c,claim_fb510f67f873455c,N,True,Y,MATCHED,17,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A00922_24,1,claim_0c0cca95acd7a481,claim_e604dff2107e7e1e,N,True,Y,MATCHED,1,2,2,MISMATCH,AUTO,OUTSIDE_TOLERANCE,AUTO,OUTSIDE_TOLERANCE,
A00922_8,1,claim_434bd64cde8b9c5b,claim_6871ecf68cf4c7f2,N,True,Y,MATCHED,46,1,0,UNDETERMINED,HOLD,AMBIGUOUS_MARGIN,HOLD,AMBIGUOUS_MARGIN,
A01111_14,1,claim_cd57273d71240241,claim_4c38bce068e469f3,N,True,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A01124_14,1,claim_c140a036c893f263,claim_45d592c73f4b1601,N,True,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A01124_20,1,claim_df23c845fc5e7fa4,claim_35a6d244a2682969,Y,True,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A01124_4,1,claim_62ca8f77d15ed5b4,claim_1a1efb9dae338e13,N,True,N,,0,0,0,,,,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:comparison,
A01180_3,1,claim_2fd9321a443899ba,claim_c03c899bf349597c,N,True,Y,MATCHED,71,1,2,MISMATCH,AUTO,OUTSIDE_TOLERANCE,AUTO,OUTSIDE_TOLERANCE,
A01180_3,2,claim_1538c404a6786c92,claim_95c250988eb4ef38,N,True,Y,MATCHED,90,1,2,MATCH,AUTO,WITHIN_TOLERANCE,AUTO,WITHIN_TOLERANCE,
A01180_3,3,claim_0343cabcbc0e045a,claim_4aaab47fc083ec5e,N,True,Y,MATCHED,38,0,1,MATCH,AUTO,WITHIN_TOLERANCE,AUTO,WITHIN_TOLERANCE,
A01278_7,1,claim_fd0d4561eadf9399,claim_368ed52c3503daa9,N,True,Y,MATCHED,3,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A01285_1,1,claim_cafe56bb76521bbb,claim_61cd0ae34c857afe,N,True,N,,0,0,0,,,,HUMAN_REVIEW,"중심 수치가 '7% 중반'으로 정확한 단일 수치가 아니며, 10%는 2021년 당시의 역사적 참고값으로 현재 수치와 직접 비교할 수 없음",
A01285_7,1,claim_394eebc6bf25b4a8,claim_fd4e7175639c14c6,N,True,Y,MATCHED,190,1,1,MISMATCH,AUTO,OUTSIDE_TOLERANCE,AUTO,OUTSIDE_TOLERANCE,
A01359_5,1,claim_e14952291591b135,claim_b9c45a8c91180211,N,True,N,,0,0,0,,,,HUMAN_REVIEW,문장에 서로 다른 기간의 증감 수치가 여러 개 포함되어 있어 독립적으로 검증 가능한 단일 주장으로 확정하기 어렵습니다.,
A01359_7,1,claim_bf069e7a5b2482e3,claim_724b3e6de2681b66,N,True,Y,MATCHED,53,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A01385_2,1,claim_ac272991918f1c8e,claim_72c85541d0c9a7f3,N,True,Y,MATCHED,30,1,1,UNDETERMINED,HOLD,AS_OF_UNAVAILABLE,HOLD,AS_OF_UNAVAILABLE,
A01385_5,1,claim_a3d2eacdeae596da,claim_755cd4e2f52b3da2,N,True,Y,MATCHED,29,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A01438_17,1,claim_86c3569ecb965994,claim_6067fc06fab3688b,N,True,N,,0,0,0,,,,HUMAN_REVIEW,"2010년대 수치가 '3%대 초·중반'으로 범위 표현되어 정확한 단일 수치로 확정하기 어렵지만, 중심 수치 3%와 2000년대 초반의 5% 안팎 비교를 보존함",
A01480_2,1,claim_6b5c6fa3d513f214,claim_504f5639b2e81aa0,N,True,Y,MATCHED,21,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A01480_28,1,claim_d3cfc35992f45b90,A01480_28,N,True,N,,0,0,0,,,,HUMAN_REVIEW,GROUPING_AMBIGUOUS,
A01539_13,1,claim_57da797b1c0ab29f,claim_26d6d5bebe45f2af,N,True,Y,MATCHED,21,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A01709_28,1,claim_a2739266c650400b,claim_26d4e03368067f88,N,False,N,,0,0,0,,,,HUMAN_REVIEW,금액이 무엇을 나타내는지에 해당하는 핵심 지표명이나 대상이 문장에 명시되지 않아 식별할 수 없음,
A01733_8,1,claim_f57dc283be4ddd65,claim_87d216d8fb3e7c2c,N,False,N,,0,0,0,,,,HUMAN_REVIEW,문장에 상품 수출 -0.4%와 상품 수입 0%라는 서로 독립적으로 검증 가능한 수치가 함께 제시되어 단일 Claim으로 자동 확정할 수 없음,
A01733_8,2,claim_5a77a353ce8f1a1d,claim_2edafae068c6bb74,N,True,N,,0,0,0,,,,HUMAN_REVIEW,문장에 상품 수출 -0.4%와 상품 수입 0%라는 서로 독립적으로 검증 가능한 두 수치가 함께 제시되어 단일 Claim으로 확정하기 어렵습니다.,
A01737_13,1,claim_073063a70545bd72,claim_8d4f4f77e400f80f,N,True,Y,MATCHED,49,1,0,UNDETERMINED,HOLD,AMBIGUOUS_MARGIN,HOLD,AMBIGUOUS_MARGIN,
A01737_15,1,claim_818db34e5f32e0ef,claim_636c78029fc5810e,N,True,Y,MATCHED,1,1,1,MISMATCH,AUTO,OUTSIDE_TOLERANCE,AUTO,OUTSIDE_TOLERANCE,
A01737_17,1,claim_62e42f605baac6f3,claim_d26d225b41b1c238,N,True,N,,0,0,0,,,,HUMAN_REVIEW,"현재 감소폭 15만명과 2024년 12월 감소폭 15만7000명이 함께 제시되지만, 문장상 현재 수치의 정확한 기준월 및 두 수치의 비교 방식이 명확하지 않아 차이값 산출을 확정하기 어렵습니다.",
A01737_9,1,claim_4e8f4bec36b92b41,claim_4bce14bbe0adf81f,N,True,Y,MATCHED,71,1,1,MATCH,AUTO,WITHIN_TOLERANCE,AUTO,WITHIN_TOLERANCE,
A01752_6,1,claim_66c1ec8aa7348fbb,claim_5b7ca7d27466d615,Y,True,Y,MATCHED,40,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A01902_19,1,claim_cdf734b0f70fc46c,claim_37f1c6b3c0d1a4e0,N,True,Y,MATCHED,58,1,1,MATCH,AUTO,WITHIN_TOLERANCE,AUTO,WITHIN_TOLERANCE,
A01953_7,1,claim_b0c618819d2bd081,claim_6a89c1041a779b2a,N,True,Y,MATCHED,51,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A01989_15,1,claim_7ad81eaa7dd92bd5,claim_3bd1c5941bc2b910,N,True,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A02022_18,1,claim_25cfeacda22c0d95,claim_e4e48fddac0d4b1b,N,True,N,,0,0,0,,,,HUMAN_REVIEW,"중심 수치는 2000년 대비 2023년의 증가 폭으로 명확하지만, DIFFERENCE 산출에 필요한 비교 대상의 현재값과 기준값이 기사에 제시되지 않았습니다.",
A02022_18,2,claim_cc17969f6e1ae43c,claim_c0516bdba161e2ef,N,True,Y,MATCHED,20,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A02022_18,3,claim_eb64c1ce7e5abde3,claim_730655d0099fd435,N,True,Y,MATCHED,20,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A02096_15,1,claim_ff5fabf31d5ab7af,claim_bf5947ad7f089192,N,True,Y,MATCHED,29,1,0,UNDETERMINED,HOLD,AMBIGUOUS_MARGIN,HOLD,AMBIGUOUS_MARGIN,
A02258_26,1,claim_33a229c35a60058a,claim_e1a0d5ced57d6fe1,N,True,Y,MATCHED,16,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A02258_26,2,claim_e47aaef210fa561d,claim_93ff1a329a3eb46a,N,True,Y,MATCHED,20,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A02491_9,1,claim_bb8893be2f45fc0c,claim_f0617a257a35b445,N,False,N,,0,0,0,,,,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:time,
A02558_11,1,claim_3375a461ad29e545,claim_0afa992068d26d10,N,True,Y,MATCHED,1,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A02558_17,1,claim_1c76179ada4cb22c,claim_c4c268daa38cdb93,N,True,Y,MATCHED,40,1,1,MATCH,AUTO,WITHIN_TOLERANCE,AUTO,WITHIN_TOLERANCE,
A02558_9,1,claim_a39c95dc02922b4e,claim_16812d69649466fc,N,True,Y,MATCHED,59,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A02617_1,1,claim_caffc15c364b5650,claim_6bc03d41a1248571,N,True,N,,0,0,0,,,,HUMAN_REVIEW,CLAIM_UNIT_INCOMPATIBLE,
A02617_13,1,claim_f9783093e8adb96f,claim_8f09c235a74feec3,N,True,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A02617_2,1,claim_9560077fad71b3bd,claim_a3a6bdc0048e339a,N,True,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A02639_9,1,claim_286523591d1812ba,claim_f16f1763abf45e37,N,True,N,,0,0,0,,,,HUMAN_REVIEW,문장에 전체 취업자 수 30만명 초과 증가와 청년층 취업자 14만6000명 감소라는 독립적으로 검증 가능한 수치가 함께 있어 단일 주장으로 확정할 수 없음,
A02639_9,2,claim_87a0a69c11d078df,claim_97d8e15f3d42614b,N,True,Y,MATCHED,58,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A02647_16,1,claim_cce2f043f3f0e786,claim_895722400759c5dc,N,True,N,,0,0,0,,,,HUMAN_REVIEW,문장에 산업별로 서로 독립적으로 검증 가능한 증감 수치가 여러 개 포함되어 있어 단일 Claim으로 확정하지 않음,
A02647_16,2,claim_1e5abe391f401136,claim_2f67a446e43dfcac,N,False,N,,0,0,0,,,,HUMAN_REVIEW,"운수창고업의 전년 동월 대비 증가 폭은 명확하지만, 기사에 현재 대상 월이 명시되지 않아 claim target time을 특정할 수 없음",
A02647_16,3,claim_aeeb92d4dbf7ecbe,claim_ea6f20387f305493,N,False,N,,0,0,0,,,,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:time,
A02647_16,4,claim_436737e71f32332e,claim_4bbdfb78e0e9bc51,N,False,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A02647_16,5,claim_1a9d299ec820391d,claim_343b1d5d815011f5,N,False,N,,0,0,0,,,,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:time,
A02647_16,6,claim_a9cd647f8f432a76,claim_0f6be789ae6f32f7,N,True,N,,0,0,0,,,,HUMAN_REVIEW,증감 폭은 명시됐지만 DIFFERENCE 계산에 필요한 비교 대상의 현재값과 기준값이 본문에 함께 제시되지 않았습니다.,
A02656_11,1,claim_77d082f066b6baca,claim_4a2543f559e17b12,N,True,N,,0,0,0,,,,HUMAN_REVIEW,전체 취업자 수 증가 31만2000명과 보건업 및 사회복지 서비스업 증가 30만4000명이라는 서로 독립적으로 검증 가능한 두 수치가 한 문장에 함께 제시되어 단일 목표로 안전하게 구조화할 수 없음,
A02656_11,2,claim_0598cfbf089129e4,claim_f5e9fab7fb6114fd,N,True,Y,MATCHED,144,1,1,UNDETERMINED,HOLD,AS_OF_UNAVAILABLE,HOLD,AS_OF_UNAVAILABLE,
A02676_2,1,claim_458626b3c2ac75f4,claim_03be2345907af4ba,N,True,Y,MATCHED,41,2,2,MISMATCH,AUTO,OUTSIDE_TOLERANCE,AUTO,OUTSIDE_TOLERANCE,
A02680_2,1,claim_ce14765a78a0675e,claim_b3bf1ec21d974548,N,True,Y,MATCHED,39,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A02693_1,1,claim_895086a7aef29aea,claim_cb80d8d21331fecb,N,True,N,,0,0,0,,,,HUMAN_REVIEW,"실업률 수치가 정확한 단일 값이 아니라 ‘3%대 중후반대’에서 ‘2% 중후반대’로 제시된 범위 표현이며, 청년층의 구직 포기가 원인이라는 분석적 인과 주장과 전체 실업률의 대상 범위가 명확히 분리되지 않아 자동 확정할 수 없음.",
A00006_11,1,claim_0236b22fed29bb35,claim_c4e31a389c724302,N,True,Y,MATCHED,90,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
A00006_9,1,claim_d4c994a8c934e1ea,claim_3bc72836a91c2029,N,True,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A00448_30,1,claim_d3a1c934d4618faa,claim_611c1b53449b79fa,N,False,N,,0,0,0,,,,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:comparison,
A00448_30,2,claim_dea3368115b33b3c,claim_55937dab1cdc8ec0,N,False,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A00579_10,1,claim_1a7d6adb20b87d41,claim_158f2fecc3c9dc11,N,False,N,,0,0,0,,,,HUMAN_REVIEW,"목표값 9.6%의 기준 시점과 지역이 본문에 명시되지 않았으며, 전년 동월 대비 0.2%포인트 상승은 별도 변화 정보로 직접 보강할 수 없음",
A00760_3,1,claim_31c94718f1438b78,claim_200c907a93fc6a89,N,False,N,,0,0,0,,,,HUMAN_REVIEW,"두 개의 독립적인 지정 기준(상호출자제한 기업집단과 공시대상 기업집단)이 한 문장에 함께 제시되어 있으며, 중심 수치 0.5%와 동등값 10조4000억원의 기준 시점도 명확히 특정되지 않음",
A00760_3,2,claim_ee0939117abd240b,claim_bea6a1b55892b415,N,False,N,,0,0,0,,,,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:time,
A00838_16,1,claim_9920c7655d0c47ba,claim_b61194af45ca5334,N,True,Y,MATCHED,57,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A00838_16,2,claim_03c2ca34c7640b9a,claim_6a47264a5c7f78dc,N,True,Y,MATCHED,3,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A00899_16,1,claim_68c33076eb9ca41b,claim_483c4c18883b6c3c,N,False,N,,0,0,0,,,,HUMAN_REVIEW,"중심 수치 315만대와 기준 수치 466만대의 관계 및 목표 시점이 문장상 모호하며, 2012~2015년의 450만대 초과라는 별도 수치도 포함되어 단일 수치 주장으로 확정하기 어렵습니다.",
A00922_4,1,claim_d1831985171d074b,claim_173b6b4b3d377e01,N,True,Y,MATCHED,1,1,1,MATCH,AUTO,WITHIN_TOLERANCE,AUTO,WITHIN_TOLERANCE,
A01120_8,1,claim_41e97b8114d45aa9,claim_d4ee8db273c04719,Y,False,N,,0,0,0,,,,HUMAN_REVIEW,MISSING_REQUIRED_SLOTS:value,
A01254_41,1,claim_c320d346f775fb73,claim_99c79019265ad146,N,True,N,,0,0,0,,,,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,
A01359_11,1,claim_684717a9dff80dbe,claim_e6a2d63420eeb351,Y,True,Y,MATCHED,1,2,2,MISMATCH,AUTO,OUTSIDE_TOLERANCE,AUTO,OUTSIDE_TOLERANCE,
A01359_11,2,claim_02e1b41a3567d8fd,claim_aa7f3758b442da19,Y,True,Y,MATCHED,28,0,0,UNDETERMINED,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,
A01385_9,1,claim_b0906dac5f36226d,claim_bddf117ff4944533,N,True,Y,MATCHED,20,0,0,UNDETERMINED,HOLD,NO_HARD_GUARD_CANDIDATE,HOLD,NO_HARD_GUARD_CANDIDATE,
